Titre,Description,Paramètres,Status,Réponse
,"## Bénéficiaire AVEC participation financière - féminin

Ce cas permet de tester :
- [Param. appel] lieu de naissance en France
- [Param. appel] sexe féminin
- [Param. appel] Deux prénoms
- [Réponse] statut bénéficiaire de la complémentaire santé solidaire AVEC participation financière","{""codeInseeLieuDeNaissance"":""08480"",""codePaysLieuDeNaissance"":""99100"",""sexe"":""F"",""nomNaissance"":""DUPONT"",""prenoms"":[""JEANNE"",""LAURE""],""anneeDateDeNaissance"":1993,""moisDateDeNaissance"":8}",200,"{
  ""status"": ""beneficiaire_avec_participation_financiere"",
  ""dateDebut"": ""2023-06-01"",
  ""dateFin"": ""2024-06-01""
}"
,"## Bénéficiaire SANS participation financière - masculin - né dans un pays étranger

Ce cas permet de tester :
- [Param. appel] Pays de naissance autre que la France
- [Param. appel] sexe masculin
- [Param. appel] Deux prénoms
- [Réponse] statut bénéficiaire de la complémentaire santé solidaire SANS participation financière","{""codeInseeLieuDeNaissance"":""08481"",""codePaysLieuDeNaissance"":""99127"",""sexe"":""M"",""nomNaissance"":""DUPONT"",""prenoms"":[""PIERRE"",""PAUL""],""anneeDateDeNaissance"":1984,""moisDateDeNaissance"":12}",200,"{
  ""status"": ""beneficiaire_sans_participation_financiere"",
  ""dateDebut"": ""2023-02-01"",
  ""dateFin"": ""2024-02-01""
}"
,"## Non bénéficiaire - masculin

Ce cas permet de tester :
- [Param. appel] lieu de naissance en France
- [Param. appel] sexe masculin
- [Réponse] statut non-bénéficiaire de la complémentaire santé solidaire","{""codeInseeLieuDeNaissance"":""08480"",""codePaysLieuDeNaissance"":""99100"",""sexe"":""M"",""nomNaissance"":""DUPONT"",""prenoms"":[""PIERRE""],""anneeDateDeNaissance"":1966,""moisDateDeNaissance"":6}",200,"{
  ""status"": ""non_beneficiaire_css"",
  ""dateDebut"": null,
  ""dateFin"": null
}"
,Dossier non trouvé,"{""nomNaissance"":""DUBOCHE"",""codeInseeLieuDeNaissance"":""00404"",""codePaysLieuDeNaissance"":""99100"",""sexe"":""F""}",404,"{
  ""error"": ""not_found"",
  ""reason"": ""Dossier allocataire inexistant. Le document ne peut être édité."",
  ""message"": ""Dossier allocataire inexistant. Le document ne peut être édité.""
}"
,Timeout - délai d'attente dépassé,"{""nomNaissance"":""DUBOCHE"",""prenoms"":[""JEROME""],""codeInseeLieuDeNaissance"":""00503"",""codePaysLieuDeNaissance"":""99100"",""sexe"":""F""}",503,"{
  ""error"": ""network_error"",
  ""reason"": ""timeout of 10000 ms exceeded"",
  ""message"": ""Une erreur est survenue lors de l'appel au fournisseur de donnée""
}"
,"## Bénéficiaire né à l'étranger sans participation financière femme - 200

Ce cas permet de tester :
- [Param. appel] Nom d'usage
- [Param. appel] Nom de naissance
- [Param. appel] Deux prénoms
- [Param. appel] Date de naissance (jour,mois,année)
- [Param. appel] sexe féminin
- [Réponse] statut bénéficiaire de la complémentaire santé solidaire SANS participation financière","{""nomUsage"":""PLUSSE"",""nomNaissance"":""GERVINAT"",""prenoms"":[""MADELEINE"",""LEA""],""anneeDateDeNaissance"":1976,""moisDateDeNaissance"":8,""jourDateDeNaissance"":24,""codeInseeLieuDeNaissance"":null,""codePaysLieuDeNaissance"":""99131"",""sexe"":""F""}",200,"{
  ""status"": ""beneficiaire_sans_participation_financiere"",
  ""dateDebut"": ""2024-10-01"",
  ""dateFin"": ""2025-10-01""
}"
,"## Bénéficiaire né à l'étranger sans participation financière femme - 200

Ce cas permet de tester :
- [Param. appel] Nom d'usage
- [Param. appel] Nom de naissance
- [Param. appel] Un prénom
- [Param. appel] Date de naissance (jour,mois,année)
- [Param. appel] sexe féminin
- [Réponse] statut bénéficiaire de la complémentaire santé solidaire SANS participation financière","{""nomUsage"":""MIREL"",""nomNaissance"":""VAUBAN"",""prenoms"":[""VICTOIRE""],""anneeDateDeNaissance"":1966,""moisDateDeNaissance"":3,""jourDateDeNaissance"":5,""codeInseeLieuDeNaissance"":null,""codePaysLieuDeNaissance"":""99216"",""sexe"":""F""}",200,"{
  ""status"": ""beneficiaire_sans_participation_financiere"",
  ""dateDebut"": ""2023-08-25"",
  ""dateFin"": ""2024-08-25""
}"
,"## Bénéficiaire avec participation financière femme - 200

Ce cas permet de tester :
- [Param. appel] Nom d'usage
- [Param. appel] Nom de naissance
- [Param. appel] Deux prénoms
- [Param. appel] Date de naissance (jour,mois,année)
- [Param. appel] sexe féminin
- [Réponse] statut bénéficiaire de la complémentaire santé solidaire AVEC participation financière","{""nomUsage"":""DUPUIS"",""nomNaissance"":""CARTIER"",""prenoms"":[""CELINE"",""MARIE""],""anneeDateDeNaissance"":1980,""moisDateDeNaissance"":10,""jourDateDeNaissance"":10,""codeInseeLieuDeNaissance"":""75056"",""codePaysLieuDeNaissance"":""99100"",""sexe"":""F""}",200,"{
  ""status"": ""beneficiaire_avec_participation_financiere"",
  ""dateDebut"": ""2024-06-01"",
  ""dateFin"": ""2025-06-01""
}"
,"## Bénéficiaire sans participation financière homme - 200

Ce cas permet de tester :
- [Param. appel] Nom d'usage
- [Param. appel] Nom de naissance
- [Param. appel] 3 prénoms
- [Param. appel] Date de naissance (jour,mois,année)
- [Param. appel] sexe masculin
- [Réponse] statut bénéficiaire de la complémentaire santé solidaire SANS participation financière","{""nomUsage"":""LEDIEU"",""nomNaissance"":""FALLENDE"",""prenoms"":[""PIERRE"",""GAUTIER"",""HARRY""],""anneeDateDeNaissance"":1950,""moisDateDeNaissance"":1,""jourDateDeNaissance"":1,""codeInseeLieuDeNaissance"":""44109"",""codePaysLieuDeNaissance"":""99100"",""sexe"":""M""}",200,"{
  ""status"": ""beneficiaire_sans_participation_financiere"",
  ""dateDebut"": ""2024-08-25"",
  ""dateFin"": ""2025-08-25""
}"
,"## Dossier complémentaire inexistant - 404

Ce cas permet de tester :
- [Param. appel] Nom d'usage
- [Param. appel] Nom de naissance
- [Param. appel] Un prénom
- [Param. appel] Date de naissance (jour,mois,année)
- [Param. appel] sexe masculin
- [Réponse] Dossier complémentaire inexistant","{""nomUsage"":""LEGRAND"",""nomNaissance"":""LEROI"",""prenoms"":[""ARTHUR""],""anneeDateDeNaissance"":1995,""moisDateDeNaissance"":12,""jourDateDeNaissance"":22,""codeInseeLieuDeNaissance"":""75056"",""codePaysLieuDeNaissance"":""99100"",""sexe"":""M""}",404,"{ 
  ""error"": ""not_found"",
  ""reason"": ""Dossier allocataire inexistant. Le document ne peut être édité."",
  ""message"": ""Dossier allocataire inexistant. Le document ne peut être édité.""
}"
,"## Erreur du fournisseur - 503

Ce cas permet de tester :
- [Param. appel] Nom d'usage
- [Param. appel] Nom de naissance
- [Param. appel] Un prénom
- [Param. appel] Date de naissance (jour,mois,année)
- [Param. appel] sexe masculin
- [Réponse] ","{""nomUsage"":""LAGRANDE"",""nomNaissance"":""LAREINE"",""prenoms"":[""ELIZABETH""],""anneeDateDeNaissance"":1988,""moisDateDeNaissance"":4,""jourDateDeNaissance"":2,""codeInseeLieuDeNaissance"":""75056"",""codePaysLieuDeNaissance"":""99100"",""sexe"":""F""}",503,"{ 
  ""code"": ""37999"",
  ""title"": ""Erreur inconnue du fournisseur de données"",
  ""detail"": ""La réponse retournée par le fournisseur de données est invalide et inconnue de notre service. L'équipe technique a été notifiée de cette erreur pour investigation."",
  ""source"": null,
  ""meta"": 
  {
    ""provider"": ""CNAV""
  }
}"
,"Cas de test pour CSS avec jeton FranceConnect.
Les données proviennent de [nos propres jetons FranceConnect de test](../france_connect/cnaf_css.yml).
L'endpoint est appellé avec le jeton FranceConnect + le recipient.","{""prenoms"":[""Georges""],""nomNaissance"":""CNAF"",""anneeDateDeNaissance"":2002,""moisDateDeNaissance"":1,""jourDateDeNaissance"":1,""sexe"":""M"",""codeInseeLieuDeNaissance"":""75002"",""codePaysLieuDeNaissance"":""99100""}",200,"{
  ""status"": ""beneficiaire_sans_participation_financiere"",
  ""dateDebut"": ""2021-05-05"",
  ""dateFin"": ""2023-03-03""
}"
,"Cas de test pour CSS avec jeton FranceConnect.
Les données proviennent des jetons de l'environnement de test FranceConnect.
L'endpoint est appellé avec le jeton FranceConnect + le recipient.","{""prenoms"":[""Angela"",""Claire"",""Louise""],""nomNaissance"":""DUBOIS"",""anneeDateDeNaissance"":1962,""moisDateDeNaissance"":8,""jourDateDeNaissance"":24,""sexe"":""F"",""codeInseeLieuDeNaissance"":""75107"",""codePaysLieuDeNaissance"":""99100""}",200,"{
  ""status"": ""beneficiaire_sans_participation_financiere"",
  ""dateDebut"": ""2023-02-01"",
  ""dateFin"": ""2024-02-01""
}"
