Titre,Description,Paramètres,Status,Réponse
,Personne insrite,"{""identifiant"":""default""}",200,"{
  ""identifiant"": ""default"",
  ""civilite"": ""M."",
  ""nom"": ""DUPONT"",
  ""nomUsage"": null,
  ""prenom"": ""JEAN"",
  ""sexe"": ""Masculin"",
  ""codeCertificationCNAV"": ""VC"",
  ""libelleCategorieInscription"": ""PERSONNE SANS EMPLOI DISPONIBLE DUREE INDETERMINEE PLEIN TPS"",
  ""email"": ""jean.dupont@france.fr"",
  ""telephone"": ""0636656565"",
  ""telephone2"": null,
  ""adresse"": {
    ""INSEECommune"": ""75107"",
    ""codePostal"": ""75007"",
    ""ligneComplementAdresse"": null,
    ""ligneComplementDestinataire"": ""APPARTEMENT 42"",
    ""ligneComplementDistribution"": null,
    ""ligneNom"": ""DUPONT"",
    ""ligneVoie"": ""42 RUE DE LA PAIX"",
    ""localite"": ""75001 PARIS""
  },
  ""dateNaissance"": ""1990-01-01"",
  ""dateInscription"": ""2020-01-01"",
  ""dateCessationInscription"": null,
  ""codeCategorieInscription"": 1
}"
,Personne non trouvée,"{""identifiant"":""not_found""}",404,"{
  ""error"": ""not_found"",
  ""reason"": ""Situation not found"",
  ""message"": ""Aucune situation Pôle Emploi n'a pu être trouvée avec les critères de recherche fournis""
}"
,Erreur interne du serveur,"{""identifiant"":""internal_error""}",500,"{
  ""error"": ""error"",
  ""reason"": ""Internal server error"",
  ""message"": ""Une erreur interne s'est produite, l'équipe a été prévenue.""
}"
,Timeout - délai d'attente dépassé,"{""identifiant"":""timeout""}",503,"{
  ""error"": ""network_error"",
  ""reason"": ""timeout of 10000 ms exceeded"",
  ""message"": ""Une erreur est survenue lors de l'appel au fournisseur de donnée""
}"
,"Identifiant 123456A, inscrite, toulouse","{""identifiant"":""123456A""}",200,"{
  ""identifiant"": ""123456A"",
  ""civilite"": ""MME"",
  ""nom"": ""Courtet"",
  ""nomUsage"": null,
  ""prenom"": ""Martine"",
  ""sexe"": ""Féminin"",
  ""codeCertificationCNAV"": ""VC"",
  ""libelleCategorieInscription"": ""PERSONNE SANS EMPLOI DISPONIBLE DUREE INDETERMINEE PLEIN TPS"",
  ""email"": ""martine.courtet@fake.fr"",
  ""telephone"": ""0601020304"",
  ""telephone2"": null,
  ""adresse"": {
    ""INSEECommune"": ""31555"",
    ""codePostal"": ""31400"",
    ""ligneComplementAdresse"": null,
    ""ligneComplementDestinataire"": ""APPARTEMENT 42"",
    ""ligneComplementDistribution"": null,
    ""ligneNom"": ""Courtet"",
    ""ligneVoie"": ""11 Rue Capus"",
    ""localite"": ""31400 TOULOUSE""
  },
  ""dateNaissance"": ""1990-01-06"",
  ""dateInscription"": ""2024-01-01"",
  ""dateCessationInscription"": null,
  ""codeCategorieInscription"": 1
}"
,"Identifiant 123457A, inscrite, toulouse 2025","{""identifiant"":""1234567""}",200,"{
  ""identifiant"": ""123457A"",
  ""civilite"": ""M."",
  ""nom"": ""Desnoyer"",
  ""nomUsage"": null,
  ""prenom"": ""Daniel"",
  ""sexe"": ""Masculin"",
  ""codeCertificationCNAV"": ""VC"",
  ""libelleCategorieInscription"": ""PERSONNE SANS EMPLOI DISPONIBLE DUREE INDETERMINEE PLEIN TPS"",
  ""email"": ""daniel.desnoyers@fake.fr"",
  ""telephone"": ""0601020304"",
  ""telephone2"": null,
  ""adresse"": {
    ""INSEECommune"": ""31555"",
    ""codePostal"": ""31400"",
    ""ligneComplementAdresse"": null,
    ""ligneComplementDestinataire"": ""APPARTEMENT 42"",
    ""ligneComplementDistribution"": null,
    ""ligneNom"": ""Courtet"",
    ""ligneVoie"": ""11 Rue Capus"",
    ""localite"": ""31400 TOULOUSE""
  },
  ""dateNaissance"": ""1989-01-18"",
  ""dateInscription"": ""2025-09-01"",
  ""dateCessationInscription"": null,
  ""codeCategorieInscription"": 1
}"
,"Identifiant 123458A, inscrite, toulouse, 2025","{""identifiant"":""123458A""}",200,"{
  ""identifiant"": ""123458A"",
  ""civilite"": ""MME"",
  ""nom"": ""Gallois"",
  ""nomUsage"": null,
  ""prenom"": ""Anais"",
  ""sexe"": ""Féminin"",
  ""codeCertificationCNAV"": ""VC"",
  ""libelleCategorieInscription"": ""PERSONNE SANS EMPLOI DISPONIBLE DUREE INDETERMINEE PLEIN TPS"",
  ""email"": ""anais.gallois@fake.fr"",
  ""telephone"": ""0601020304"",
  ""telephone2"": null,
  ""adresse"": {
    ""INSEECommune"": ""31555"",
    ""codePostal"": ""31400"",
    ""ligneComplementAdresse"": null,
    ""ligneComplementDestinataire"": ""APPARTEMENT 42"",
    ""ligneComplementDistribution"": null,
    ""ligneNom"": ""Courtet"",
    ""ligneVoie"": ""11 Rue Capus"",
    ""localite"": ""31400 TOULOUSE""
  },
  ""dateNaissance"": ""1989-01-18"",
  ""dateInscription"": ""2025-09-01"",
  ""dateCessationInscription"": null,
  ""codeCategorieInscription"": 1
}"
,"Identifiant 123459A, inscrite, toulouse, 2025","{""identifiant"":""123459A""}",200,"{
  ""identifiant"": ""123459A"",
  ""civilite"": ""M."",
  ""nom"": ""Genest"",
  ""nomUsage"": null,
  ""prenom"": ""Ludovic"",
  ""sexe"": ""Féminin"",
  ""codeCertificationCNAV"": ""VC"",
  ""libelleCategorieInscription"": ""PERSONNE SANS EMPLOI DISPONIBLE DUREE INDETERMINEE PLEIN TPS"",
  ""email"": ""ludovic.genest@fake.fr"",
  ""telephone"": ""0601020304"",
  ""telephone2"": null,
  ""adresse"": {
    ""INSEECommune"": ""31555"",
    ""codePostal"": ""31400"",
    ""ligneComplementAdresse"": null,
    ""ligneComplementDestinataire"": ""APPARTEMENT 42"",
    ""ligneComplementDistribution"": null,
    ""ligneNom"": ""Courtet"",
    ""ligneVoie"": ""11 Rue Capus"",
    ""localite"": ""31400 TOULOUSE""
  },
  ""dateNaissance"": ""1992-08-15"",
  ""dateInscription"": ""2025-09-01"",
  ""dateCessationInscription"": null,
  ""codeCategorieInscription"": 1
}"
,"Identifiant 123460A, inscrite, toulouse, 2025","{""identifiant"":""123460A""}",200,"{
  ""identifiant"": ""123460A"",
  ""civilite"": ""MME"",
  ""nom"": ""Vega"",
  ""nomUsage"": null,
  ""prenom"": ""Tiphaine"",
  ""sexe"": ""Féminin"",
  ""codeCertificationCNAV"": ""VC"",
  ""libelleCategorieInscription"": ""PERSONNE SANS EMPLOI DISPONIBLE DUREE INDETERMINEE PLEIN TPS"",
  ""email"": ""tifaine.vega@fake.fr"",
  ""telephone"": ""0601020304"",
  ""telephone2"": null,
  ""adresse"": {
    ""INSEECommune"": ""31555"",
    ""codePostal"": ""31400"",
    ""ligneComplementAdresse"": null,
    ""ligneComplementDestinataire"": ""APPARTEMENT 42"",
    ""ligneComplementDistribution"": null,
    ""ligneNom"": ""Courtet"",
    ""ligneVoie"": ""11 Rue Capus"",
    ""localite"": ""31400 TOULOUSE""
  },
  ""dateNaissance"": ""1992-08-15"",
  ""dateInscription"": ""2025-09-01"",
  ""dateCessationInscription"": null,
  ""codeCategorieInscription"": 1
}"
,"Identifiant 123461A, desinscrit, toulouse, 2025","{""identifiant"":""123461A""}",200,"{
  ""identifiant"": ""123461A"",
  ""civilite"": ""M."",
  ""nom"": ""Mallette"",
  ""nomUsage"": null,
  ""prenom"": ""Alex"",
  ""sexe"": ""Féminin"",
  ""codeCertificationCNAV"": ""VC"",
  ""libelleCategorieInscription"": ""PERSONNE SANS EMPLOI DISPONIBLE DUREE INDETERMINEE PLEIN TPS"",
  ""email"": ""alex.mallette@fake.fr"",
  ""telephone"": ""0601020304"",
  ""telephone2"": null,
  ""adresse"": {
    ""INSEECommune"": ""31555"",
    ""codePostal"": ""31400"",
    ""ligneComplementAdresse"": null,
    ""ligneComplementDestinataire"": ""APPARTEMENT 42"",
    ""ligneComplementDistribution"": null,
    ""ligneNom"": ""Courtet"",
    ""ligneVoie"": ""11 Rue Capus"",
    ""localite"": ""31400 TOULOUSE""
  },
  ""dateNaissance"": ""1992-08-15"",
  ""dateInscription"": ""2024-09-01"",
  ""dateCessationInscription"": ""2025-09-01"",
  ""codeCategorieInscription"": 1
}"
