Titre,Description,Paramètres,Status,Réponse
,FranceConnect: Titulaire véhicule particulier essence lié DGFIP Parisien,"{""immatriculation"":""ZB-383-DK""}",200,"{
  ""data"": {
    ""identite_particulier"": {
      ""nom"": ""CIS CINQUANTEUN"",
      ""prenom"": ""PRENOM GAUTIER"",
      ""sexe_etat_civil"": ""M"",
      ""annee_date_naissance"": 1951,
      ""mois_date_naissance"": 8,
      ""jour_date_naissance"": 25,
      ""code_departement_naissance"": ""75""
    },
    ""adresse_particulier"": {
      ""complement_information"": null,
      ""num_voie"": ""172"",
      ""type_voie"": ""BOULEVARD"",
      ""libelle_voie"": ""SAINT GERMAIN"",
      ""code_postal_ville"": ""75006"",
      ""libelle_commune"": ""PARIS"",
      ""lieu_dit"": null,
      ""etage_escalier_appartement"": null,
      ""extension"": null,
      ""pays"": ""FRANCE""
    },
    ""statut_rattachement"": ""titulaire"",
    ""donnees_immatriculation_vehicule"": {
      ""numero_immatriculation"": ""ZA-383-DK"",
      ""date_premiere_immatriculation"": ""2017-01-19"",
      ""statut_location"": {
        ""code"": null,
        ""label"": null
      }
    },
    ""caracteristiques_techniques_vehicule"": {
      ""marque"": ""PORSCHE"",
      ""type_variante_version"": ""9PAED2202"",
      ""denomination_commerciale"": ""CAYENNE"",
      ""masse_charge_maximale"": 3080,
      ""categorie_vehicule"": {
        ""code"": ""M1"",
        ""label"": ""Véhicule de transport de personnes comportant au maximum 8 places assises outre le siège du conducteur""
      },
      ""genre_national"": {
        ""code"": ""VP"",
        ""label"": ""Véhicule Particulier""
      },
      ""cylindree"": 4511,
      ""type_carburant"": {
        ""code"": ""ES"",
        ""label"": ""Essence""
      },
      ""taux_co2"": 378,
      ""classe_environnementale"": {
        ""code"": ""Euro 4"",
        ""label"": ""Norme européenne d'émission Euro 4""
      }
    }
  },
  ""links"": {},
  ""meta"": {}
}"
,FranceConnect: Titulaire Parisien VP ES,"{""immatriculation"":""TM-001-KB""}",200,"{
  ""data"": {
    ""identite_particulier"": {
      ""nom"": ""CIS CINQUANTESEPT"",
      ""prenom"": ""PRENOM CHARLES"",
      ""sexe_etat_civil"": ""M"",
      ""annee_date_naissance"": 1960,
      ""mois_date_naissance"": 4,
      ""jour_date_naissance"": 19,
      ""code_departement_naissance"": ""70""
    },
    ""adresse_particulier"": {
      ""complement_information"": null,
      ""num_voie"": ""8"",
      ""type_voie"": ""RUE"",
      ""libelle_voie"": ""JULIEN LACROIX"",
      ""code_postal_ville"": ""75020"",
      ""libelle_commune"": ""PARIS"",
      ""lieu_dit"": null,
      ""etage_escalier_appartement"": null,
      ""extension"": null,
      ""pays"": ""FRANCE""
    },
    ""statut_rattachement"": ""titulaire"",
    ""donnees_immatriculation_vehicule"": {
      ""numero_immatriculation"": ""TM-001-KB"",
      ""date_premiere_immatriculation"": ""2017-01-19"",
      ""statut_location"": {
        ""code"": null,
        ""label"": null
      }
    },
    ""caracteristiques_techniques_vehicule"": {
      ""marque"": ""MAZDA"",
      ""type_variante_version"": ""CR1L8DXFABAAAAN"",
      ""denomination_commerciale"": ""MAZDA"",
      ""masse_charge_maximale"": 2090,
      ""categorie_vehicule"": {
        ""code"": ""M1"",
        ""label"": ""Véhicule de transport de personnes comportant au maximum 8 places assises outre le siège du conducteur""
      },
      ""genre_national"": {
        ""code"": ""VP"",
        ""label"": ""Véhicule Particulier""
      },
      ""cylindree"": 1798,
      ""type_carburant"": {
        ""code"": ""ES"",
        ""label"": ""Essence""
      },
      ""taux_co2"": 190,
      ""classe_environnementale"": {
        ""code"": ""Euro 4"",
        ""label"": ""Norme européenne d'émission Euro 4""
      }
    }
  },
  ""links"": {},
  ""meta"": {}
}"
,FranceConnect: Titulaire véhicule particulier essence lié DGFIP non-Parisien,"{""immatriculation"":""TM-002-KB""}",200,"{
  ""data"": {
    ""identite_particulier"": {
      ""nom"": ""CIS QUARANTESIX"",
      ""prenom"": ""PNM EMMA"",
      ""sexe_etat_civil"": ""F"",
      ""annee_date_naissance"": 1947,
      ""mois_date_naissance"": 5,
      ""jour_date_naissance"": 20,
      ""code_departement_naissance"": ""75""
    },
    ""adresse_particulier"": {
      ""complement_information"": null,
      ""num_voie"": ""100"",
      ""type_voie"": ""BOULEVARD"",
      ""libelle_voie"": ""BAILLE"",
      ""code_postal_ville"": ""13005"",
      ""libelle_commune"": ""MARSEILLE"",
      ""lieu_dit"": null,
      ""etage_escalier_appartement"": null,
      ""extension"": null,
      ""pays"": ""FRANCE""
    },
    ""statut_rattachement"": ""titulaire"",
    ""donnees_immatriculation_vehicule"": {
      ""numero_immatriculation"": ""TM-002-KB"",
      ""date_premiere_immatriculation"": ""2017-01-19"",
      ""statut_location"": {
        ""code"": null,
        ""label"": null
      }
    },
    ""caracteristiques_techniques_vehicule"": {
      ""marque"": ""MAZDA"",
      ""type_variante_version"": ""CR1L8DXFABAAAAN"",
      ""denomination_commerciale"": ""MAZDA"",
      ""masse_charge_maximale"": 2090,
      ""categorie_vehicule"": {
        ""code"": ""M1"",
        ""label"": ""Véhicule de transport de personnes comportant au maximum 8 places assises outre le siège du conducteur""
      },
      ""genre_national"": {
        ""code"": ""VP"",
        ""label"": ""Véhicule Particulier""
      },
      ""cylindree"": 1798,
      ""type_carburant"": {
        ""code"": ""ES"",
        ""label"": ""Essence""
      },
      ""taux_co2"": 190,
      ""classe_environnementale"": {
        ""code"": ""Euro 4"",
        ""label"": ""Norme européenne d'émission Euro 4""
      }
    }
  },
  ""links"": {},
  ""meta"": {}
}"
,FranceConnect: Titulaire Parisien VP EL,"{""immatriculation"":""TM-003-KB""}",200,"{
  ""data"": {
    ""identite_particulier"": {
      ""nom"": ""CIS CINQUANTESEPT"",
      ""prenom"": ""PRENOM CHARLES"",
      ""sexe_etat_civil"": ""M"",
      ""annee_date_naissance"": 1960,
      ""mois_date_naissance"": 4,
      ""jour_date_naissance"": 19,
      ""code_departement_naissance"": ""70""
    },
    ""adresse_particulier"": {
      ""complement_information"": null,
      ""num_voie"": ""8"",
      ""type_voie"": ""RUE"",
      ""libelle_voie"": ""JULIEN LACROIX"",
      ""code_postal_ville"": ""75020"",
      ""libelle_commune"": ""PARIS"",
      ""lieu_dit"": null,
      ""etage_escalier_appartement"": null,
      ""extension"": null,
      ""pays"": ""FRANCE""
    },
    ""statut_rattachement"": ""titulaire"",
    ""donnees_immatriculation_vehicule"": {
      ""numero_immatriculation"": ""TM-003-KB"",
      ""date_premiere_immatriculation"": ""2021-01-01"",
      ""statut_location"": {
        ""code"": null,
        ""label"": null
      }
    },
    ""caracteristiques_techniques_vehicule"": {
      ""marque"": ""PEUGEOT"",
      ""type_variante_version"": ""WB9HR8"",
      ""denomination_commerciale"": ""207"",
      ""masse_charge_maximale"": 1500,
      ""categorie_vehicule"": {
        ""code"": ""M1"",
        ""label"": ""Véhicule de transport de personnes comportant au maximum 8 places assises outre le siège du conducteur""
      },
      ""genre_national"": {
        ""code"": ""VP"",
        ""label"": ""Véhicule Particulier""
      },
      ""cylindree"": 1798,
      ""type_carburant"": {
        ""code"": ""EL"",
        ""label"": ""Électricité""
      },
      ""taux_co2"": 0,
      ""classe_environnementale"": {
        ""code"": ""Euro 4"",
        ""label"": ""Norme européenne d'émission Euro 4""
      }
    }
  },
  ""links"": {},
  ""meta"": {}
}"
,Dossier d'immatriculation non trouvé via FranceConnect,"{""immatriculation"":""XX-404-FC""}",404,"{
  ""errors"": [
    {
      ""code"": ""42003"",
      ""title"": ""Entité non trouvée"",
      ""detail"": ""Le ou les paramètre(s) d'entrée n'existent pas, ne sont pas connus, ou ne comportent aucune information pour cet appel. Veuillez vérifier que votre recherche est couverte par le périmètre de l'API."",
      ""source"": {},
      ""meta"": {
        ""provider"": ""ANTS""
      }
    }
  ]
}"
,FranceConnect: Titulaire Parisien VP VBE multicritère,"{""immatriculation"":""TM-004-KB""}",200,"{
  ""data"": {
    ""identite_particulier"": {
      ""nom"": ""CIS CINQUANTESEPT"",
      ""prenom"": ""PRENOM CHARLES"",
      ""sexe_etat_civil"": ""M"",
      ""annee_date_naissance"": 1960,
      ""mois_date_naissance"": 4,
      ""jour_date_naissance"": 19,
      ""code_departement_naissance"": ""70""
    },
    ""adresse_particulier"": {
      ""complement_information"": null,
      ""num_voie"": ""8"",
      ""type_voie"": ""RUE"",
      ""libelle_voie"": ""JULIEN LACROIX"",
      ""code_postal_ville"": ""75020"",
      ""libelle_commune"": ""PARIS"",
      ""lieu_dit"": null,
      ""etage_escalier_appartement"": null,
      ""extension"": null,
      ""pays"": ""FRANCE""
    },
    ""statut_rattachement"": ""titulaire"",
    ""donnees_immatriculation_vehicule"": {
      ""numero_immatriculation"": ""TM-004-KB"",
      ""date_premiere_immatriculation"": ""2020-03-30"",
      ""statut_location"": {
        ""code"": null,
        ""label"": null
      }
    },
    ""caracteristiques_techniques_vehicule"": {
      ""marque"": ""PEUGEOT"",
      ""type_variante_version"": ""CR1L8DXFABAAAAN"",
      ""denomination_commerciale"": ""WB9HR8"",
      ""masse_charge_maximale"": 2090,
      ""categorie_vehicule"": {
        ""code"": ""M1"",
        ""label"": ""Véhicule de transport de personnes comportant au maximum 8 places assises outre le siège du conducteur""
      },
      ""genre_national"": {
        ""code"": ""CTTE"",
        ""label"": ""Véhicule Particulier""
      },
      ""cylindree"": 120,
      ""type_carburant"": {
        ""code"": ""EG"",
        ""label"": ""Bicarburation essence-GPL""
      },
      ""taux_co2"": 120,
      ""classe_environnementale"": {
        ""code"": ""Euro 4"",
        ""label"": ""Norme européenne d'émission Euro 4""
      }
    }
  },
  ""links"": {},
  ""meta"": {}
}"
,"FranceConnect: Titulaire véhicule particulier essence lié DGFIP Parisien, avec incohérence entre adresse dgfip et siv","{""immatriculation"":""TM-005-KB""}",200,"{
  ""data"": {
    ""identite_particulier"": {
      ""nom"": ""CIS CINQUANTESEPT"",
      ""prenom"": ""PRENOM CHARLES"",
      ""sexe_etat_civil"": ""M"",
      ""annee_date_naissance"": 1960,
      ""mois_date_naissance"": 4,
      ""jour_date_naissance"": 19,
      ""code_departement_naissance"": ""70""
    },
    ""adresse_particulier"": {
      ""complement_information"": null,
      ""num_voie"": ""8"",
      ""type_voie"": ""RUE"",
      ""libelle_voie"": ""JULIEN LACROIX"",
      ""code_postal_ville"": ""75020"",
      ""libelle_commune"": ""PARIS"",
      ""lieu_dit"": null,
      ""etage_escalier_appartement"": null,
      ""extension"": null,
      ""pays"": ""FRANCE""
    },
    ""statut_rattachement"": ""titulaire"",
    ""donnees_immatriculation_vehicule"": {
      ""numero_immatriculation"": ""TM-005-KB"",
      ""date_premiere_immatriculation"": ""2017-01-19"",
      ""statut_location"": {
        ""code"": null,
        ""label"": null
      }
    },
    ""caracteristiques_techniques_vehicule"": {
      ""marque"": ""MAZDA"",
      ""type_variante_version"": ""CR1L8DXFABAAAAN"",
      ""denomination_commerciale"": ""MAZDA"",
      ""masse_charge_maximale"": 2090,
      ""categorie_vehicule"": {
        ""code"": ""M1"",
        ""label"": ""Véhicule de transport de personnes comportant au maximum 8 places assises outre le siège du conducteur""
      },
      ""genre_national"": {
        ""code"": ""VP"",
        ""label"": ""Véhicule Particulier""
      },
      ""cylindree"": 1798,
      ""type_carburant"": {
        ""code"": ""ES"",
        ""label"": ""Essence""
      },
      ""taux_co2"": 190,
      ""classe_environnementale"": {
        ""code"": ""Euro 4"",
        ""label"": ""Norme européenne d'émission Euro 4""
      }
    }
  },
  ""links"": {},
  ""meta"": {}
}"
,FranceConnect: Titulaire 2RM Parisien,"{""immatriculation"":""TM-006-KB""}",200,"{
  ""data"": {
    ""identite_particulier"": {
      ""nom"": ""CIS CINQUANTESEPT"",
      ""prenom"": ""PRENOM CHARLES"",
      ""sexe_etat_civil"": ""M"",
      ""annee_date_naissance"": 1960,
      ""mois_date_naissance"": 4,
      ""jour_date_naissance"": 19,
      ""code_departement_naissance"": ""70""
    },
    ""adresse_particulier"": {
      ""complement_information"": null,
      ""num_voie"": ""8"",
      ""type_voie"": ""RUE"",
      ""libelle_voie"": ""JULIEN LACROIX"",
      ""code_postal_ville"": ""75020"",
      ""libelle_commune"": ""PARIS"",
      ""lieu_dit"": null,
      ""etage_escalier_appartement"": null,
      ""extension"": null,
      ""pays"": ""FRANCE""
    },
    ""statut_rattachement"": ""titulaire"",
    ""donnees_immatriculation_vehicule"": {
      ""numero_immatriculation"": ""TM-006-KB"",
      ""date_premiere_immatriculation"": ""2022-07-20"",
      ""statut_location"": {
        ""code"": null,
        ""label"": null
      }
    },
    ""caracteristiques_techniques_vehicule"": {
      ""marque"": ""MAZDA"",
      ""type_variante_version"": ""CR1L8DXFABAAAAN"",
      ""denomination_commerciale"": ""MAZDA"",
      ""masse_charge_maximale"": 342,
      ""categorie_vehicule"": {
        ""code"": ""L3e-A1"",
        ""label"": ""Véhicule de transport de personnes comportant au maximum 8 places assises outre le siège du conducteur""
      },
      ""genre_national"": {
        ""code"": ""MTL"",
        ""label"": ""Véhicule Particulier""
      },
      ""cylindree"": 125,
      ""type_carburant"": {
        ""code"": ""ES"",
        ""label"": ""Essence""
      },
      ""taux_co2"": 54,
      ""classe_environnementale"": {
        ""code"": ""Euro 4"",
        ""label"": ""Norme européenne d'émission Euro 4""
      }
    },
    ""links"": {},
    ""meta"": {}
  }
}"
,FranceConnect: Titulaire véhicule particulier essence,"{""immatriculation"":""FC-123-AB""}",200,"{
  ""data"": {
    ""identite_particulier"": {
      ""nom"": ""DELATOUR"",
      ""prenom"": ""THOMAS"",
      ""sexe_etat_civil"": ""M"",
      ""annee_date_naissance"": 1985,
      ""mois_date_naissance"": 3,
      ""jour_date_naissance"": 15,
      ""code_departement_naissance"": ""75""
    },
    ""adresse_particulier"": {
      ""complement_information"": null,
      ""num_voie"": ""12"",
      ""type_voie"": ""RUE"",
      ""libelle_voie"": ""DE LA PAIX"",
      ""code_postal_ville"": ""75011"",
      ""libelle_commune"": ""PARIS"",
      ""lieu_dit"": null,
      ""etage_escalier_appartement"": null,
      ""extension"": null,
      ""pays"": ""FRANCE""
    },
    ""statut_rattachement"": ""titulaire"",
    ""donnees_immatriculation_vehicule"": {
      ""numero_immatriculation"": ""FC-123-AB"",
      ""date_premiere_immatriculation"": ""2021-04-16"",
      ""statut_location"": {
        ""code"": null,
        ""label"": null
      }
    },
    ""caracteristiques_techniques_vehicule"": {
      ""marque"": ""PEUGEOT"",
      ""type_variante_version"": ""FCDEF-G1H234"",
      ""denomination_commerciale"": ""3008"",
      ""masse_charge_maximale"": 1890,
      ""categorie_vehicule"": {
        ""code"": ""M1"",
        ""label"": ""Véhicule de transport de personnes comportant au maximum 8 places assises outre le siège du conducteur""
      },
      ""genre_national"": {
        ""code"": ""VP"",
        ""label"": ""Véhicule Particulier""
      },
      ""cylindree"": 1600,
      ""type_carburant"": {
        ""code"": ""ES"",
        ""label"": ""Essence""
      },
      ""taux_co2"": 115,
      ""classe_environnementale"": {
        ""code"": ""Euro 6d"",
        ""label"": ""Norme européenne d'émission Euro 6d""
      }
    }
  },
  ""links"": {},
  ""meta"": {}
}"
,FranceConnect: Titulaire véhicule particulier essence lié DGFIP Lyon,"{""immatriculation"":""ZA-387-DK""}",200,"{
  ""data"": {
    ""identite_particulier"": {
      ""nom"": ""CIS CINQUANTESEPT"",
      ""prenom"": ""PRENOM CHARLES"",
      ""sexe_etat_civil"": ""M"",
      ""annee_date_naissance"": 1957,
      ""mois_date_naissance"": 7,
      ""jour_date_naissance"": 12,
      ""code_departement_naissance"": ""69""
    },
    ""adresse_particulier"": {
      ""complement_information"": null,
      ""num_voie"": ""5"",
      ""type_voie"": ""PLACE"",
      ""libelle_voie"": ""BERTONE"",
      ""code_postal_ville"": ""69004"",
      ""libelle_commune"": ""LYON"",
      ""lieu_dit"": null,
      ""etage_escalier_appartement"": ""APPARTEMENT A56"",
      ""extension"": null,
      ""pays"": ""FRANCE""
    },
    ""statut_rattachement"": ""titulaire"",
    ""donnees_immatriculation_vehicule"": {
      ""numero_immatriculation"": ""ZA-387-DK"",
      ""date_premiere_immatriculation"": ""2017-01-19"",
      ""statut_location"": {
        ""code"": null,
        ""label"": null
      }
    },
    ""caracteristiques_techniques_vehicule"": {
      ""marque"": ""VOLKSWAGEN"",
      ""type_variante_version"": ""16AACCZAX0FM6FM62Q030N7MGVIVR0"",
      ""denomination_commerciale"": ""JETTA"",
      ""masse_charge_maximale"": 1920,
      ""categorie_vehicule"": {
        ""code"": ""M1"",
        ""label"": ""Véhicule de transport de personnes comportant au maximum 8 places assises outre le siège du conducteur""
      },
      ""genre_national"": {
        ""code"": ""VP"",
        ""label"": ""Véhicule Particulier""
      },
      ""cylindree"": 1984,
      ""type_carburant"": {
        ""code"": ""ES"",
        ""label"": ""Essence""
      },
      ""taux_co2"": 167,
      ""classe_environnementale"": {
        ""code"": ""Euro 5"",
        ""label"": ""Norme européenne d'émission Euro 5""
      }
    }
  },
  ""links"": {},
  ""meta"": {}
}"
