Titre,Description,Paramètres,Status,Réponse
,Élève boursier,"{""nomNaissance"":""MARTIN"",""prenoms"":[""EMMA""],""sexeEtatCivil"":""F"",""anneeDateNaissance"":2012,""moisDateNaissance"":8,""jourDateNaissance"":15,""codeEtablissement"":""0132733A"",""anneeScolaire"":""2025""}",200,"{
  ""data"": {
    ""identite"": {
      ""nom"": ""MARTIN"",
      ""prenom"": ""EMMA"",
      ""sexe"": ""F"",
      ""date_naissance"": ""2012-08-15""
    },
    ""module_elementaire_formation"": {
        ""code_mef_stat"": ""211324099991"",
        ""libelle"": ""1CAP1 STAFFEUR ORNEMANISTE""
    },
    ""annee_scolaire"": ""2025-2026"",
    ""est_scolarise"": true,
    ""statut_eleve"": {
      ""code"": ""ST"",
      ""libelle"": ""Scolaire""
    },
    ""etablissement"": {
        ""code_uai"": ""0132733A"",
        ""nom"": ""Lycée Polyvalent Antonin Artaud"",
        ""code_ministere_tutelle"": ""06""
    },
    ""est_boursier"": true,
    ""echelon_bourse"": 1
  },
  ""links"": {},
  ""meta"": {}
}"
,Élève boursier,"{""nomNaissance"":""DUPONT"",""prenoms"":[""LOUISE""],""sexeEtatCivil"":""F"",""anneeDateNaissance"":2010,""moisDateNaissance"":6,""jourDateNaissance"":22,""codeEtablissement"":""0130043B"",""anneeScolaire"":""2025""}",200,"{
  ""data"": {
    ""identite"": {
      ""nom"": ""DUPONT"",
      ""prenom"": ""LOUISE"",
      ""sexe"": ""F"",
      ""date_naissance"": ""2010-06-22""
    },
    ""module_elementaire_formation"": {
        ""code_mef_stat"": ""211324099991"",
        ""libelle"": ""1CAP1 STAFFEUR ORNEMANISTE""
    },
    ""annee_scolaire"": ""2025-2026"",
    ""est_scolarise"": true,
    ""statut_eleve"": {
      ""code"": ""ST"",
      ""libelle"": ""Scolaire""
    },
    ""etablissement"": {
        ""code_uai"": ""0130043B"",
        ""nom"": ""Lycée Victor Hugo"",
        ""code_ministere_tutelle"": ""06""
    },
    ""est_boursier"": true,
    ""echelon_bourse"": 1
  },
  ""links"": {},
  ""meta"": {}
}"
,Élève non boursier,"{""nomNaissance"":""DUPONT"",""prenoms"":[""INES""],""sexeEtatCivil"":""F"",""anneeDateNaissance"":2016,""moisDateNaissance"":12,""jourDateNaissance"":3,""codeEtablissement"":""0130002G"",""anneeScolaire"":""2025""}",200,"{
  ""data"": {
    ""identite"": {
      ""nom"": ""DUPONT"",
      ""prenom"": ""INES"",
      ""sexe"": ""F"",
      ""date_naissance"": ""2016-12-03""
    },
    ""module_elementaire_formation"": {
        ""code_mef_stat"": ""211324099991"",
        ""libelle"": ""1CAP1 STAFFEUR ORNEMANISTE""
    },
    ""annee_scolaire"": ""2025-2026"",
    ""est_scolarise"": true,
    ""statut_eleve"": {
      ""code"": ""ST"",
      ""libelle"": ""Scolaire""
    },
    ""etablissement"": {
        ""code_uai"": ""0130002G"",
        ""nom"": ""Lycée Paul Cézanne"",
        ""code_ministere_tutelle"": ""06""
    },
    ""est_boursier"": false,
    ""echelon_bourse"": null
  },
  ""links"": {},
  ""meta"": {}
}"
,Élève non boursier non scolarisé,"{""nomNaissance"":""FERRAND"",""prenoms"":[""ELISE""],""sexeEtatCivil"":""F"",""anneeDateNaissance"":2004,""moisDateNaissance"":9,""jourDateNaissance"":27,""codeEtablissement"":""0130001F"",""anneeScolaire"":""2025""}",200,"{
  ""data"": {
    ""identite"": {
      ""nom"": ""FERRAND"",
      ""prenom"": ""ELISE"",
      ""sexe"": ""F"",
      ""date_naissance"": ""2004-09-27""
    },
    ""module_elementaire_formation"": {
        ""code_mef_stat"": ""211324099991"",
        ""libelle"": ""1CAP1 STAFFEUR ORNEMANISTE""
    },
    ""annee_scolaire"": ""2025-2026"",
    ""est_scolarise"": false,
    ""statut_eleve"": {
      ""code"": ""NS"",
      ""libelle"": ""Non scolarisé""
    },
    ""etablissement"": {
        ""code_uai"": ""0130001F"",
        ""nom"": ""Lycée polyvalent Émile Zola"",
        ""code_ministere_tutelle"": ""06""
    },
    ""est_boursier"": false,
    ""echelon_bourse"": null
  },
  ""links"": {},
  ""meta"": {}
}"
,Élève boursier,"{""nomNaissance"":""Martin"",""prenoms"":[""Justine""],""sexeEtatCivil"":""F"",""anneeDateNaissance"":2000,""moisDateNaissance"":1,""jourDateNaissance"":20,""codeEtablissement"":""0890003V"",""anneeScolaire"":""2022""}",200,"{
  ""data"": {
    ""identite"": {
      ""nom"": ""Martin"",
      ""prenom"": ""Justine"",
      ""sexe"": ""F"",
      ""date_naissance"": ""2000-01-20""
    },
    ""module_elementaire_formation"": {

        ""code_mef_stat"": ""211324099991"",
        ""libelle"": ""1CAP1 STAFFEUR ORNEMANISTE""

    },
    ""annee_scolaire"": ""2022-2023"",
    ""est_scolarise"": true,
    ""statut_eleve"": {
      ""code"": ""ST"",
      ""libelle"": ""Scolaire""
    },
    ""etablissement"": {

        ""code_uai"": ""0210015C"",
        ""code_ministere_tutelle"": ""06""

    },
    ""est_boursier"": true,
    ""echelon_bourse"": 1
  },
  ""links"": {},
  ""meta"": {}
}"
,Élève non trouvé,"{""nomNaissance"":""Martin"",""prenoms"":[""Jerome""],""sexeEtatCivil"":""F"",""anneeDateNaissance"":2000,""moisDateNaissance"":1,""jourDateNaissance"":20,""codeEtablissement"":""0890003V"",""anneeScolaire"":""2022""}",404,"{
  ""errors"": [
    {
      ""code"": ""30003"",
      ""title"": ""Entité non trouvée"",
      ""detail"": ""Aucun élève n'a pu être trouvé avec les critères de recherche fournis."",
      ""source"": null,
      ""meta"": {
        ""provider"": ""MEN""
      }
    }
  ]
}"
,Erreur serveur,"{""nomNaissance"":""Faure"",""prenoms"":[""Felix""],""sexe"":""M"",""anneeDateNaissance"":2000,""moisDateNaissance"":1,""jourDateNaissance"":20,""codeEtablissement"":""0890003V"",""anneeScolaire"":""2022""}",504,"{
  ""errors"": [
    {
      ""code"": ""30002"",
      ""title"": ""Intermédiaire hors-délai"",
      ""detail"": ""Temps d’attente d’une réponse du fournisseur de données écoulé."",
      ""source"": null,
      ""meta"": {
        ""provider"": ""MEN""
      }
    }
  ]
}"
,Élève boursier collégien échelon 1 - Dupont Nouhe,"{""nomNaissance"":""Dupont"",""prenoms"":[""Nouhe""],""sexeEtatCivil"":""M"",""anneeDateNaissance"":2007,""moisDateNaissance"":12,""jourDateNaissance"":9,""codeEtablissement"":""0921236U"",""anneeScolaire"":""2024""}",200,"{
  ""data"": {
    ""identite"": {
      ""nom"": ""Dupont"",
      ""prenom"": ""Nouhe"",
      ""sexe"": ""M"",
      ""date_naissance"": ""2007-12-09""
    },
    ""module_elementaire_formation"": {
      ""code_mef_stat"": ""10310019110"",
      ""libelle"": ""3EME GENERALE""
    },
    ""annee_scolaire"": ""2025"",
    ""est_scolarise"": true,
    ""statut_eleve"": {
      ""code"": ""ST"",
      ""libelle"": ""Scolaire""
    },
    ""etablissement"": {
      ""code_uai"": ""0921236U"",
      ""code_ministere_tutelle"": ""06""
    },
    ""est_boursier"": true,
    ""echelon_bourse"": 1
  },
  ""links"": {},
  ""meta"": {}
}"
,Élève boursier collégien échelon 1 - Thomas Kevin,"{""nomNaissance"":""Thomas"",""prenoms"":[""Kevin""],""sexeEtatCivil"":""M"",""anneeDateNaissance"":2002,""moisDateNaissance"":2,""jourDateNaissance"":7,""codeEtablissement"":""0941035P"",""anneeScolaire"":""2024""}",200,"{
  ""data"": {
    ""identite"": {
      ""nom"": ""Thomas"",
      ""prenom"": ""Kevin"",
      ""sexe"": ""M"",
      ""date_naissance"": ""2002-02-07""
    },
    ""module_elementaire_formation"": {
      ""code_mef_stat"": ""10310019110"",
      ""libelle"": ""3EME GENERALE""
    },
    ""annee_scolaire"": ""2025"",
    ""est_scolarise"": true,
    ""statut_eleve"": {
      ""code"": ""ST"",
      ""libelle"": ""Scolaire""
    },
    ""etablissement"": {
      ""code_uai"": ""0941035P"",
      ""code_ministere_tutelle"": ""06""
    },
    ""est_boursier"": true,
    ""echelon_bourse"": 1
  },
  ""links"": {},
  ""meta"": {}
}"
,Élève boursier collégien échelon 2 - Bispo-Antoinette Hanan,"{""nomNaissance"":""Bispo-Antoinette"",""prenoms"":[""Hanan""],""sexeEtatCivil"":""F"",""anneeDateNaissance"":1999,""moisDateNaissance"":12,""jourDateNaissance"":24,""codeEtablissement"":""0941035P"",""anneeScolaire"":""2024""}",200,"{
  ""data"": {
    ""identite"": {
      ""nom"": ""Bispo-Antoinette"",
      ""prenom"": ""Hanan"",
      ""sexe"": ""F"",
      ""date_naissance"": ""1999-12-24""
    },
    ""module_elementaire_formation"": {
      ""code_mef_stat"": ""10310019110"",
      ""libelle"": ""3EME GENERALE""
    },
    ""annee_scolaire"": ""2025"",
    ""est_scolarise"": true,
    ""statut_eleve"": {
      ""code"": ""ST"",
      ""libelle"": ""Scolaire""
    },
    ""etablissement"": {
      ""code_uai"": ""0941035P"",
      ""code_ministere_tutelle"": ""06""
    },
    ""est_boursier"": true,
    ""echelon_bourse"": 2
  },
  ""links"": {},
  ""meta"": {}
}"
